Date,Price,p1,p2,p3,p4,p5, p6, p7, p8, p9, p10
Апр 20,2399,45,1949,72,2460,01,1889,56,5,01M,23,07%
Март 20,1949,72,1883,75,1996,00,1627,15,5,07M,3,50%
Февр 20,1883,75,2010,60,2185,95,1811,13,92,56M,-6,22%
Янв 20,2008,72,1875,00,2055,72,1815,34,84,84M,8,71%
Дек 19,1847,84,1804,40,1901,40,1735,00,68,52M,2,61%
Нояб 19,1800,80,1788,01,1824,69,1722,71,52,06M,1,36%
Окт 19,1776,66,1746,00,1798,85,1685,06,72,17M,2,35%
Сент 19,1735,91,1770,00,1853,66,1709,22,62,00M,-2,27%
Авг 19,1776,29,1871,72,1897,92,1743,51,79,99M,-4,85%
Июль 19,1866,78,1922,98,2035,80,1849,44,73,19M,-1,42%
Июнь 19,1893,63,1760,01,1935,20,1672,00,74,75M,6,68%
Май 19,1775,07,1933,09,1964,40,1772,70,98,21M,-7,86%
Апр 19,1926,52,1800,11,1956,34,1798,73,81,29M,8,19%
Март 19,1780,75,1655,13,1823,75,1586,57,100,83M,8,59%
Февр 19,1639,83,1638,88,1673,06,1566,76,80,94M,-4,59%
Янв 19,1718,73,1465,20,1736,41,1460,93,134,02M,14,43%
Дек 18,1501,97,1769,46,1778,34,1307,00,154,81M,-11,13%
Нояб 18,1690,17,1623,53,1784,00,1420,00,139,29M,5,77%
Окт 18,1598,01,2021,99,2033,19,1476,36,183,23M,-20,22%
Сент 18,2003,00,2026,50,2050,50,1865,00,94,45M,-0,48%
Авг 18,2012,71,1784,00,2025,57,1776,02,96,58M,13,24%
Июль 18,1777,44,1682,70,1880,05,1678,06,97,63M,4,57%
Июнь 18,1699,80,1637,03,1763,10,1635,09,85,94M,4,31%
Май 18,1629,62,1563,22,1635,00,1546,02,71,62M,4,05%
Апр 18,1566,13,1417,62,1638,10,1352,88,129,95M,8,21%
Март 18,1447,34,1513,60,1617,54,1365,20,130,40M,-4,30%
Февр 18,1512,45,1445,00,1528,70,1265,93,137,78M,4,24%
Янв 18,1450,89,1172,00,1472,58,1170,51,96,37M,24,06%
Дек 17,1169,47,1172,05,1194,78,1124,74,57,76M,-0,62%
Нояб 17,1176,75,1105,40,1213,41,1086,87,77,17M,6,47%
Окт 17,1105,28,964,00,1122,79,950,37,83,33M,14,97%
Сент 17,961,35,984,20,1000,00,931,75,59,41M,-1,96%
Авг 17,980,60,996,11,1006,40,936,33,77,39M,-0,73%
Июль 17,987,78,972,79,1083,31,951,00,78,81M,2,04%
Июнь 17,968,00,998,59,1017,00,927,00,96,14M,-2,68%
Май 17,994,62,927,80,1001,20,927,80,76,22M,7,53%
Апр 17,924,99,888,00,949,59,884,49,73,54M,4,34%
Март 17,886,54,853,05,890,35,833,50,60,72M,4,91%
Февр 17,845,04,829,21,860,86,803,00,71,75M,2,62%
Янв 17,823,48,757,92,843,84,747,70,70,72M,9,82%
Дек 16,749,87,752,41,782,46,736,70,73,66M,-0,09%
Нояб 16,750,57,799,00,800,84,710,10,110,09M,-4,97%
Окт 16,789,82,836,00,847,21,774,61,77,06M,-5,67%
Сент 16,837,31,770,90,839,95,756,00,67,35M,8,86%
Авг 16,769,16,759,87,774,98,750,35,50,00M,1,36%
Июль 16,758,81,717,32,766,00,716,54,68,64M,6,04%
Июнь 16,715,62,720,90,731,50,682,12,74,56M,-0,99%
Май 16,722,79,663,92,724,23,656,00,90,62M,9,58%
Апр 16,659,59,590,49,669,98,585,25,78,46M,11,11%
Март 16,593,64,556,29,603,24,538,58,94,02M,7,44%
Февр 16,552,52,578,15,581,80,474,00,124,15M,-5,87%
Янв 16,587,00,656,29,657,72,547,18,130,20M,-13,15%
Дек 15,675,89,673,75,696,44,635,27,90,22M,1,67%
Нояб 15,664,80,627,13,682,77,620,41,87,30M,6,22%
Окт 15,625,90,511,00,630,72,506,00,97,19M,22,27%
Сент 15,511,89,499,14,549,78,490,50,76,77M,-0,19%
Авг 15,512,89,537,45,542,74,451,00,82,92M,-4,34%
Июль 15,536,15,439,35,580,57,425,57,102,07M,23,51%
Июнь 15,434,09,430,40,447,04,419,14,54,99M,1,13%
Май 15,429,23,423,82,439,00,414,55,51,98M,1,77%
Апр 15,421,78,372,10,452,65,368,34,84,40M,13,35%