name,price,views
Opel Corsa,2009,290000,515
Opel Corsa,2009,290000,517
Opel Corsa,2009,290000,518
Opel Corsa,2009,255000,2635
Opel Corsa,2009,320000,581
Opel Corsa,2009,250000,2635
Opel Corsa,2009,200500,180 (+1)
Opel Corsa,2009,265000,459
Opel Corsa,2009,340000,900
Mitsubishi Outlander,2012,930000,6951
Mitsubishi Outlander,2012,930000,6952
Mitsubishi Outlander,2012,750000,1040
Mitsubishi Outlander,2012,930000,6953
Mitsubishi Outlander,2012,680000,3063
Mitsubishi Outlander,2012,668000,4272
Mitsubishi Outlander,2012,835000,315
Mitsubishi Outlander,2012,900000,993
Mitsubishi Outlander,2012,770000,582
Hyundai Elantra,2014,689000,1998
Hyundai Elantra,2014,689000,1999
Hyundai Elantra,2014,630000,3179
Hyundai Elantra,2014,820000,576
Hyundai Elantra,2014,689000,2000
Hyundai Elantra,2014,250000,2096
Hyundai Elantra,2014,650000,13910
Hyundai Elantra,2014,650000,1282
Ford Mondeo,2005,160000,8078
Ford Mondeo,2005,160000,8079
Ford Mondeo,2005,250000,545
Ford Mondeo,2005,235000,459
Ford Mondeo,2005,160000,8080
Ford Mondeo,2005,220000,410
Ford Mondeo,2005,215000,847
Ford Mondeo,2005,222000,20472
Ford Mondeo,2005,450000,1213
Ford Mondeo,2005,270000,6072
Ford Mondeo,2005,159000,4535
KIA Rio,2001,80000,3301 (+1)
KIA Rio,2001,80000,3302 (+1)
KIA Rio,2001,165000,682
KIA Rio,2001,90000,1196
KIA Rio,2001,50000,11791
KIA Rio,2001,140000,2353
KIA Rio,2001,75000,10979
KIA Rio,2001,150000,1569
KIA Rio,2001,170000,2325
ГАЗ 31105 Волга,2007,65000,1184
ГАЗ 31105 Волга,2007,65000,1185
ГАЗ 31105 Волга,2007,150000,1656
ГАЗ 31105 Волга,2007,70000,4673
ГАЗ 31105 Волга,2007,155000,1582
ГАЗ 31105 Волга,2007,115000,532
ГАЗ 31105 Волга,2007,45000,1968
ГАЗ 31105 Волга,2007,145000,1459
ГАЗ 31105 Волга,2007,120000,1187
ГАЗ 31105 Волга,2007,150000,4153
ГАЗ 31105 Волга,2007,94000,497
LADA Priora,2011,70000,813
LADA Priora,2011,70000,814
LADA Priora,2011,270000,5215
LADA Priora,2011,187000,811
LADA Priora,2011,170000,3464
LADA Priora,2011,210000,653
LADA Priora,2011,195000,444
LADA Priora,2011,195000,2116
LADA Priora,2011,180000,482
LADA Priora,2011,225000,2609
LADA Priora,2011,190000,226
ВАЗ 2110,2005,110000,839
ВАЗ 2110,2005,75000,370
ВАЗ 2110,2005,100000,386
ВАЗ 2110,2005,110000,840
ВАЗ 2110,2005,105000,535
ВАЗ 2110,2005,125000,815
ВАЗ 2110,2005,90000,4357
ВАЗ 2110,2005,75000,3444
ВАЗ 2110,2005,110000,841
ВАЗ 2110,2005,62000,931
ВАЗ 2110,2005,80000,1266
Volkswagen Passat CC,2010,590000,1730
Volkswagen Passat CC,2010,590000,1731
Volkswagen Passat CC,2010,600000,1856
Volkswagen Passat CC,2010,550000,15150
Volkswagen Passat CC,2010,590000,1732
Volkswagen Passat CC,2010,685000,3436
Volkswagen Passat CC,2010,610000,6082
Volkswagen Passat CC,2010,599000,1214
Volkswagen Passat CC,2010,650000,1119
Volkswagen Passat CC,2010,520000,8981
Volkswagen Passat CC,2010,599000,2516
Nissan Terrano,2017,799000,2914
Nissan Terrano,2017,799000,2915
Nissan Terrano,2017,799000,2916
Nissan Terrano,2017,925000,7226
Nissan Terrano,2017,489000,2431
Nissan Terrano,2017,870000,6732
Nissan Terrano,2017,800000,1138
Nissan Terrano,2017,950000,3180
Nissan Terrano,2017,810000,1285
Nissan Terrano,2017,887000,1391
ВАЗ 2106,1999,30000,261
ВАЗ 2106,1999,30000,262
ВАЗ 2106,1999,34000,540
ВАЗ 2106,1999,35000,1058
ВАЗ 2106,1999,110000,2345
ВАЗ 2106,1999,45990,2603
ВАЗ 2106,1999,32000,2317
ВАЗ 2106,1999,29999,1940
ВАЗ 2106,1999,25000,2261
ВАЗ 2106,1999,30000,828
ВАЗ 2106,1999,69000,10711
Hyundai ix35,2011,830000,1623
Hyundai ix35,2011,830000,1624
Hyundai ix35,2011,549000,10118
Hyundai ix35,2011,599000,7705
Hyundai ix35,2011,600000,2159
Hyundai ix35,2011,799000,873
Hyundai ix35,2011,672000,1937
Hyundai ix35,2011,825000,519
Hyundai ix35,2011,689000,4800
Hyundai ix35,2011,730000,7271
Hyundai Solaris,2014,455000,779
Hyundai Solaris,2014,430000,1789
Hyundai Solaris,2014,455000,780
Hyundai Solaris,2014,470000,882
Hyundai Solaris,2014,485000,226
Hyundai Solaris,2014,470000,1266
Hyundai Solaris,2014,475000,854
Hyundai Solaris,2014,480000,5013
Hyundai Solaris,2014,430000,1791
Hyundai Solaris,2014,490000,1798
Hyundai Solaris,2014,435000,1123
Chevrolet Lacetti,2009,275000,2180
Chevrolet Lacetti,2009,275000,2181
Chevrolet Lacetti,2009,275000,2182
Chevrolet Lacetti,2009,275000,1699
Chevrolet Lacetti,2009,295000,566
Chevrolet Lacetti,2009,300000,487
Chevrolet Lacetti,2009,290000,535
Chevrolet Lacetti,2009,280000,5088
Chevrolet Lacetti,2009,225000,594
Chevrolet Niva,2010,320000,775
Chevrolet Niva,2010,295000,3858
Chevrolet Niva,2010,275000,456
Chevrolet Niva,2010,320000,776
Chevrolet Niva,2010,310000,2796
Chevrolet Niva,2010,300000,2365
Chevrolet Niva,2010,275000,4154
Chevrolet Niva,2010,275000,614
Chevrolet Niva,2010,320000,777
Chevrolet Niva,2010,290000,443
Chevrolet Niva,2010,290000,4011
Hyundai Sonata,2017,945000,7542
Hyundai Sonata,2017,945000,7543
Hyundai Sonata,2017,945000,7544
Hyundai Sonata,2017,1349990,1332
Hyundai Sonata,2017,1250000,2375
Hyundai Sonata,2017,1199000,1282
Hyundai Sonata,2017,1100000,10091
Hyundai Sonata,2017,1250000,2966
Hyundai Sonata,2017,1319000,775
LADA Priora,2008,170000,142
LADA Priora,2008,130000,1830
LADA Priora,2008,170000,143
LADA Priora,2008,145000,1723
LADA Priora,2008,137000,1223
LADA Priora,2008,140000,3810
LADA Priora,2008,130000,370
LADA Priora,2008,126000,1236
LADA Priora,2008,178000,977
LADA Priora,2008,118888,3420
LADA Priora,2008,115000,1585
ВАЗ 2115 Samara,2005,43000,247
ВАЗ 2115 Samara,2005,43000,248
ВАЗ 2115 Samara,2005,70000,1760
ВАЗ 2115 Samara,2005,60000,443
ВАЗ 2115 Samara,2005,63000,657
ВАЗ 2115 Samara,2005,88000,331
ВАЗ 2115 Samara,2005,68000,625
ВАЗ 2115 Samara,2005,145000,220
ВАЗ 2115 Samara,2005,73000,641
ВАЗ 2115 Samara,2005,65000,1136
ВАЗ 2115 Samara,2005,68000,7118
LADA Vesta,2018,529000,4714
LADA Vesta,2018,529000,4715
LADA Vesta,2018,600000,949
LADA Vesta,2018,555000,486
LADA Vesta,2018,500000,880
LADA Vesta,2018,620000,3590
LADA Vesta,2018,505000,5893
LADA Vesta,2018,605000,2979
LADA Vesta,2018,660000,2124
LADA Kalina,2009,140000,1878
LADA Kalina,2009,140000,1879
LADA Kalina,2009,121000,1146
LADA Kalina,2009,135000,2411
LADA Kalina,2009,150000,550
LADA Kalina,2009,159000,228
LADA Kalina,2009,185000,270 (+1)
LADA Kalina,2009,155000,1004
LADA Kalina,2009,160000,954
LADA Kalina,2009,153000,537
LADA Kalina,2009,185000,1180
Toyota Land Cruiser Prado,2004,899000,31898
Toyota Land Cruiser Prado,2004,899000,31899
Toyota Land Cruiser Prado,2004,1100000,910
Toyota Land Cruiser Prado,2004,1030000,8890
Toyota Land Cruiser Prado,2004,1030000,1939
Toyota Land Cruiser Prado,2004,900000,7720
Toyota Land Cruiser Prado,2004,999999,4179
Toyota Land Cruiser Prado,2004,729000,2041
Toyota Land Cruiser Prado,2004,970000,3330
ВАЗ 2114 Samara,2009,99800,1448
ВАЗ 2114 Samara,2009,99800,1449
ВАЗ 2114 Samara,2009,119000,582
ВАЗ 2114 Samara,2009,105000,2333
ВАЗ 2114 Samara,2009,129000,1796
ВАЗ 2114 Samara,2009,148000,1734
ВАЗ 2114 Samara,2009,120000,1750
ВАЗ 2114 Samara,2009,95000,1094
ВАЗ 2114 Samara,2009,100000,1015
ВАЗ 2114 Samara,2009,95000,925
ВАЗ 2114 Samara,2009,144000,958
LADA Kalina,2011,173000,201
LADA Kalina,2011,175000,1254
LADA Kalina,2011,173000,202
LADA Kalina,2011,195000,1028 (+1)
LADA Kalina,2011,205000,1041
LADA Kalina,2011,185000,747
LADA Kalina,2011,170000,941
LADA Kalina,2011,169000,1939
LADA Kalina,2011,175000,1255
LADA Kalina,2011,175000,379
LADA Kalina,2011,187000,4592
Chevrolet Niva,2008,157000,1289
Chevrolet Niva,2008,157000,1290
Chevrolet Niva,2008,218000,1547
Chevrolet Niva,2008,150000,2579
Chevrolet Niva,2008,210000,2526
Chevrolet Niva,2008,295000,385
Chevrolet Niva,2008,190000,465
Chevrolet Niva,2008,220000,1154
Chevrolet Niva,2008,208000,1679
LADA Kalina,2011,175000,1256
LADA Kalina,2011,175000,1257
LADA Kalina,2011,173000,203
LADA Kalina,2011,195000,1029 (+1)
LADA Kalina,2011,205000,1042
LADA Kalina,2011,185000,748
LADA Kalina,2011,170000,942
LADA Kalina,2011,169000,1940
LADA Kalina,2011,175000,1258
LADA Kalina,2011,175000,380
LADA Kalina,2011,187000,4593
Ford Transit,2009,290000,1195
Ford Transit,2009,290000,1196
Ford Transit,2009,730000,11022
Ford Transit,2009,690000,1571
Ford Transit,2009,790000,5796
Ford Transit,2009,450000,585
Ford Transit,2009,770000,1469
Ford Transit,2009,475000,7052
Ford Transit,2009,270000,3013
Ford Transit,2009,450000,608
Ford Transit,2009,450000,5546
Toyota Camry,2008,550000,8560
Toyota Camry,2008,550000,8561
Toyota Camry,2008,600000,2182
Toyota Camry,2008,520000,1145
Toyota Camry,2008,675000,11296
Toyota Camry,2008,540000,6567
Toyota Camry,2008,525000,3642
Toyota Camry,2008,598000,12248
Toyota Camry,2008,599000,14584
Renault Megane,2007,240000,3680
Renault Megane,2007,240000,3681
Renault Megane,2007,335000,339
Renault Megane,2007,255000,1025 (+1)
Renault Megane,2007,265000,343
Renault Megane,2007,233000,1079
Renault Megane,2007,270000,614
Renault Megane,2007,299000,1369
LADA Priora,2012,219000,687
LADA Priora,2012,219000,688
LADA Priora,2012,200000,5099
LADA Priora,2012,220000,893
LADA Priora,2012,138000,5044
LADA Priora,2012,205000,1897
LADA Priora,2012,260000,710
LADA Priora,2012,259000,1446
LADA Priora,2012,260000,1762
LADA Priora,2012,208000,541
LADA Priora,2012,175000,2063
Honda CR-V,1997,200000,2212 (+2)
Honda CR-V,1997,200000,2213 (+2)
Honda CR-V,1997,270000,1319
Honda CR-V,1997,150000,3994 (+1)
Honda CR-V,1997,300000,360
Honda CR-V,1997,250000,13120
Honda CR-V,1997,244888,998
Honda CR-V,1997,240000,1918
Honda CR-V,1997,240000,1494
ГАЗ ГАЗель 3302,2011,390000,2779
ГАЗ ГАЗель 3302,2011,390000,2780
ГАЗ ГАЗель 3302,2011,300000,2249
ГАЗ ГАЗель 3302,2011,360000,308
ГАЗ ГАЗель 3302,2011,420000,531
ГАЗ ГАЗель 3302,2011,429000,3877
ГАЗ ГАЗель 3302,2011,360000,886
ГАЗ ГАЗель 3302,2011,500000,2008
ГАЗ ГАЗель 3302,2011,320000,3586
ГАЗ ГАЗель 3302,2011,349000,1124
ГАЗ ГАЗель 3302,2011,430000,2647
Hyundai Solaris,2011,380000,303
Hyundai Solaris,2011,380000,305
Hyundai Solaris,2011,420000,391
Hyundai Solaris,2011,385000,656
Hyundai Solaris,2011,430000,1352
Hyundai Solaris,2011,389000,1125
Hyundai Solaris,2011,395000,1847
Hyundai Solaris,2011,397000,610
Hyundai Solaris,2011,462000,1448
LADA Priora,2009,168000,1714
LADA Priora,2009,168000,1715
LADA Priora,2009,149000,1429
LADA Priora,2009,140000,722
LADA Priora,2009,179000,1471
LADA Priora,2009,180000,383
LADA Priora,2009,155000,4687
LADA Priora,2009,170000,1056
LADA Priora,2009,140000,1570
LADA Priora,2009,135000,2953
Nissan Qashqai,2016,1240000,192
Nissan Qashqai,2016,1240000,193
Nissan Qashqai,2016,1065000,2321
Nissan Qashqai,2016,940000,983
Nissan Qashqai,2016,1140000,773
Nissan Qashqai,2016,920000,1386
Nissan Qashqai,2016,1010000,2083
Daewoo Nexia,2006,75000,1517
Daewoo Nexia,2006,75000,1518
Daewoo Nexia,2006,78000,1049
Daewoo Nexia,2006,70000,965
Daewoo Nexia,2006,50000,9098
Daewoo Nexia,2006,70000,3477
Daewoo Nexia,2006,55000,1602
Daewoo Nexia,2006,70000,3198
Daewoo Nexia,2006,70000,1195
Daewoo Nexia,2006,68000,972
Daewoo Nexia,2006,60000,2970
Volvo S40,2006,400000,1155
Volvo S40,2006,400000,1156
Volvo S40,2006,320000,8742
Volvo S40,2006,325000,5140
Volvo S40,2006,320000,10215
Volvo S40,2006,150000,18647
Volvo S40,2006,265000,4484
Volvo S40,2006,344000,1584
Volvo S40,2006,299000,529
Volvo S40,2006,380000,3064
ВАЗ 2114 Samara,2011,130000,240
ВАЗ 2114 Samara,2011,130000,241
ВАЗ 2114 Samara,2011,135000,450
ВАЗ 2114 Samara,2011,117000,1529
ВАЗ 2114 Samara,2011,147000,1264
ВАЗ 2114 Samara,2011,170000,5077
ВАЗ 2114 Samara,2011,99000,3104
ВАЗ 2114 Samara,2011,138000,571
ВАЗ 2114 Samara,2011,139900,1293
ВАЗ 2114 Samara,2011,175000,3336
Hyundai Getz,2008,215000,2718
Hyundai Getz,2008,215000,2719
Hyundai Getz,2008,315000,985
Hyundai Getz,2008,265000,1562
Hyundai Getz,2008,330000,1009
Hyundai Getz,2008,277000,552
Hyundai Getz,2008,240000,1189
Hyundai Getz,2008,315000,465
Hyundai Getz,2008,245000,9548
Peugeot Partner,2014,615000,1174
Peugeot Partner,2014,615000,1175
Peugeot Partner,2014,459000,824
Peugeot Partner,2014,530000,3362
ВАЗ 2114 Samara,2005,80000,1599
ВАЗ 2114 Samara,2005,80000,1600
ВАЗ 2114 Samara,2005,42000,523
ВАЗ 2114 Samara,2005,87000,472
ВАЗ 2114 Samara,2005,88000,632
ВАЗ 2114 Samara,2005,82000,1689
ВАЗ 2114 Samara,2005,59000,1689
ВАЗ 2114 Samara,2005,99000,880
ВАЗ 2114 Samara,2005,65000,1153
ВАЗ 2114 Samara,2005,69999,925
ВАЗ 2114 Samara,2005,65000,1453
Mercedes-Benz C-класс,2010,680000,846
Mercedes-Benz C-класс,2010,680000,847
Mercedes-Benz C-класс,2010,430000,9507 (+1)
Mercedes-Benz C-класс,2010,650000,9712
Mercedes-Benz C-класс,2010,669900,9631 (+1)
Mercedes-Benz C-класс,2010,650000,1037
Mercedes-Benz C-класс,2010,700000,1851
Ford Focus,2013,510000,5772
Ford Focus,2013,412000,2206
Ford Focus,2013,510000,5773
Ford Focus,2013,500000,3979
Ford Focus,2013,520000,949
Ford Focus,2013,500000,4084
Ford Focus,2013,460000,446
Ford Focus,2013,470000,893
Ford Focus,2013,430000,884
Ford Focus,2013,490000,1017
ГАЗ ГАЗель 3302,2008,279000,224
ГАЗ ГАЗель 3302,2008,279000,227
ГАЗ ГАЗель 3302,2008,340000,4817
ГАЗ ГАЗель 3302,2008,250000,324
ГАЗ ГАЗель 3302,2008,250000,3638
ГАЗ ГАЗель 3302,2008,430000,3112
ГАЗ ГАЗель 3302,2008,360000,326
ГАЗ ГАЗель 3302,2008,180000,6358
ГАЗ ГАЗель 3302,2008,380000,7650
ГАЗ ГАЗель 3302,2008,385000,804
ВАЗ 2114 Samara,2007,95000,206
ВАЗ 2114 Samara,2007,95000,207
ВАЗ 2114 Samara,2007,63000,864
ВАЗ 2114 Samara,2007,85000,3118
ВАЗ 2114 Samara,2007,70000,2952
ВАЗ 2114 Samara,2007,55000,1797
ВАЗ 2114 Samara,2007,95000,2203
ВАЗ 2114 Samara,2007,85000,955
ВАЗ 2114 Samara,2007,80000,773
ВАЗ 2114 Samara,2007,85000,808
ВАЗ 2114 Samara,2007,110000,1188
BMW 5 серия,1992,170000,497 (+1)
BMW 5 серия,1992,170000,499 (+1)
BMW 5 серия,1992,115000,2146 (+1)
BMW 5 серия,1992,170000,4600
BMW 5 серия,1992,150000,3327
BMW 5 серия,1992,100000,1355
BMW 5 серия,1992,99000,2201 (+1)
BMW 5 серия,1992,150000,35629
Peugeot 308,2010,280000,1294
Peugeot 308,2010,280000,1296 (+1)
Peugeot 308,2010,338000,703
Peugeot 308,2010,408000,624
Peugeot 308,2010,305000,1004
Peugeot 308,2010,290000,1960
Peugeot 308,2010,347000,1377 (+1)
Peugeot 308,2010,320000,1608
Peugeot 308,2010,329000,3030
Peugeot 308,2010,310000,2559
ВАЗ 2115 Samara,2005,70000,1763
ВАЗ 2115 Samara,2005,43000,252
ВАЗ 2115 Samara,2005,70000,1764
ВАЗ 2115 Samara,2005,60000,445
ВАЗ 2115 Samara,2005,63000,660
ВАЗ 2115 Samara,2005,88000,334
ВАЗ 2115 Samara,2005,68000,627
ВАЗ 2115 Samara,2005,145000,222
ВАЗ 2115 Samara,2005,73000,644
ВАЗ 2115 Samara,2005,65000,1138
ВАЗ 2115 Samara,2005,68000,7119
LADA Kalina,2008,100000,341
LADA Kalina,2008,100000,342
LADA Kalina,2008,120000,3403
LADA Kalina,2008,138000,1745
LADA Kalina,2008,170000,1106
LADA Kalina,2008,139000,3792
LADA Kalina,2008,139000,453
LADA Kalina,2008,115000,1235
LADA Kalina,2008,124999,3566
Renault Megane,2014,550000,1566
Renault Megane,2014,550000,1567
Renault Megane,2014,497000,1236
Renault Megane,2014,615000,1037 (+1)
Renault Megane,2014,430000,417
Renault Megane,2014,475000,705
Renault Duster,2015,520000,3372
Renault Duster,2015,520000,3373
Renault Duster,2015,719000,2638
Renault Duster,2015,699000,188
Renault Duster,2015,620000,2932
Renault Duster,2015,630000,606
Renault Duster,2015,599000,372
Renault Duster,2015,700000,2931
Renault Duster,2015,619000,207
Ford Focus,2013,412000,2210
Ford Focus,2013,412000,2211
Ford Focus,2013,510000,5775
Ford Focus,2013,500000,3980
Ford Focus,2013,520000,950
Ford Focus,2013,500000,4085
Ford Focus,2013,460000,448
Ford Focus,2013,470000,894
Ford Focus,2013,430000,885
Ford Focus,2013,490000,1018
Toyota Auris,2007,420000,978
Toyota Auris,2007,420000,979
Toyota Auris,2007,420000,633
Toyota Auris,2007,355000,3044
Toyota Auris,2007,398000,2018
Toyota Auris,2007,385000,411
Toyota Auris,2007,330000,675
Toyota Auris,2007,333000,1121
Toyota Auris,2007,370000,469
Toyota Auris,2007,330000,1858
ВАЗ 2112,2003,63000,1139
ВАЗ 2112,2003,63000,1140
ВАЗ 2112,2003,35000,1024
ВАЗ 2112,2003,67000,799
ВАЗ 2112,2003,50000,606
ВАЗ 2112,2003,187000,4974
ВАЗ 2112,2003,105000,3067
ВАЗ 2112,2003,55000,1892
ВАЗ 2112,2003,43000,3173
ВАЗ 2112,2003,119000,628
ГАЗ ГАЗель Next,2019,1350000,164
ГАЗ ГАЗель Next,2019,1350000,165
ГАЗ ГАЗель Next,2019,1200000,503
ГАЗ ГАЗель Next,2019,1100000,731
ГАЗ ГАЗель Next,2019,1500000,577
ГАЗ ГАЗель Next,2019,1450000,1918
ГАЗ ГАЗель Next,2019,1700000,1026
ГАЗ ГАЗель Next,2019,1300000,3059
LADA Priora,2012,200000,5102
LADA Priora,2012,219000,690
LADA Priora,2012,220000,897
LADA Priora,2012,200000,5103
LADA Priora,2012,138000,5048
LADA Priora,2012,205000,1898
LADA Priora,2012,260000,711
LADA Priora,2012,259000,1447
LADA Priora,2012,260000,1763
LADA Priora,2012,208000,542
LADA Priora,2012,175000,2064
Renault Fluence,2010,447000,231
Renault Fluence,2010,447000,232
Renault Fluence,2010,350000,1896
Renault Fluence,2010,378000,1335
Renault Fluence,2010,360000,1007
Renault Fluence,2010,385000,232
Renault Fluence,2010,399000,1012
Renault Fluence,2010,395000,2425
Renault Fluence,2010,390000,1849
Renault Fluence,2010,355000,6674
Infiniti I30,1998,205000,409
Infiniti I30,1998,205000,410
Infiniti I30,1998,80000,50418
Infiniti I30,1998,163000,1979
Hyundai Sonata,2002,171000,306 (+2)
Hyundai Sonata,2002,171000,307 (+2)
Hyundai Sonata,2002,165000,11222
Hyundai Sonata,2002,159900,729
Hyundai Sonata,2002,199000,7488
Hyundai Sonata,2002,170000,1343
Hyundai Sonata,2002,150000,3610 (+1)
Hyundai Sonata,2002,150000,15609
Hyundai Sonata,2002,250000,1343 (+1)
Hyundai Sonata,2002,115000,1693
